row_number,case_id,turn_id,corpus_type,query,expected_keywords,blacklist,passed,missing_groups,blacklist_hit,candidate_count,returned_count,top_score,top5_memories,source
1,JY_TC001,1,召回记忆,推荐几首适合下雨天听的歌,"周杰伦,林俊杰",,True,,False,438,5,0.56512819,"[{""mem_id"": ""01a013e7e96179927dd31d74"", ""content"": ""用户喜欢张震岳的歌"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.56512819}, {""mem_id"": ""01a013d2f3d7c9015bd31d74"", ""content"": ""用户最喜欢陈奕迅的歌曲《富士山下》"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.56108904}, {""mem_id"": ""01a013eb0a91975872d31d74"", ""content"": ""奶奶喜欢在上午听音乐"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.54779966}, {""mem_id"": ""01a013bea200f7edced31d74"", ""content"": ""用户的播放列表里全是周杰伦和林俊杰的歌"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.53695379}, {""mem_id"": ""01a013bea200c9883cd31d74"", ""content"": ""用户尤其喜欢周杰伦的中国风歌曲"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.53607445}]",core_memory_file
2,JY_TC001,2,召回记忆,来首周杰伦的歌,"周杰伦,中国风|太阳之子",,True,,False,438,5,0.68854668,"[{""mem_id"": ""01a013e7e961b61619d31d74"", ""content"": ""用户最近购买了一张周杰伦专辑"", ""category"": ""episodic_memory"", ""subcategory"": """", ""score"": 0.68854668}, {""mem_id"": ""01a013bea200593b16d31d74"", ""content"": ""用户认为周杰伦以前的歌更好听"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.67691046}, {""mem_id"": ""01a013bea200b6b45cd31d74"", ""content"": ""用户不太喜欢周杰伦最近的那首《太阳之子》"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.66692296}, {""mem_id"": ""01a013bea200f7edced31d74"", ""content"": ""用户的播放列表里全是周杰伦和林俊杰的歌"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.6499317}, {""mem_id"": ""01a013bea200c9883cd31d74"", ""content"": ""用户尤其喜欢周杰伦的中国风歌曲"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.62763032}]",core_memory_file
3,JY_TC001,3,召回记忆,播放一首林俊杰的江南,,,True,,False,438,5,0.68482381,"[{""mem_id"": ""01a013bea200ba5148d31d74"", ""content"": ""用户很喜欢林俊杰的嗓音"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.68482381}, {""mem_id"": ""01a013bea200f7edced31d74"", ""content"": ""用户的播放列表里全是周杰伦和林俊杰的歌"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.65632441}, {""mem_id"": ""01a013d2f3d7c9015bd31d74"", ""content"": ""用户最喜欢陈奕迅的歌曲《富士山下》"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.5819283}, {""mem_id"": ""01a013d2f3d763bbc9d31d74"", ""content"": ""用户是陈奕迅的忠实歌迷"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.58131923}, {""mem_id"": ""01a013c6935ab5b29ed31d74"", ""content"": ""用户每天中午12点半到1点午休时听古典吉他曲"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.58011076}]",core_memory_file
4,JY_TC002,1,召回记忆,帮我推荐一份早餐搭配,"美式咖啡|拿铁,水煮蛋,豆浆",鸡蛋,False,水煮蛋 || 豆浆,False,438,5,0.67032023,"[{""mem_id"": ""01a013ded4e2d94a7dd31d74"", ""content"": ""用户早餐一般吃面包牛奶"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.67032023}, {""mem_id"": ""01a013bf5e0befa6b7d31d74"", ""content"": ""用户每天早上7点半喝一杯美式咖啡"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.62488792}, {""mem_id"": ""01a013dfbecb2b4050d31d74"", ""content"": ""用户每天早晨服用一片药"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.60027038}, {""mem_id"": ""01a013df51b3779e27d31d74"", ""content"": ""用户早上起床困难"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.59900827}, {""mem_id"": ""01a013e0a1d8b7073fd31d74"", ""content"": ""用户每天喝三杯咖啡，早上两杯下午一杯"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.58676238}]",core_memory_file
5,JY_TC003,1,召回记忆,刚刚吃了一盘公司的果切，感觉嘴麻麻的，怎么回事,芒果,,True,,False,438,5,0.64280746,"[{""mem_id"": ""01a013ded4e2fedcddd31d74"", ""content"": ""用户对芒果过敏，吃了会嘴肿"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.64280746}, {""mem_id"": ""01a013eb8c4501da24d31d74"", ""content"": ""用户喜欢吃咸口零食"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.60175848}, {""mem_id"": ""01a013e89e8b61b56ed31d74"", ""content"": ""用户喜欢吃榴莲味的披萨"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.59506938}, {""mem_id"": ""01a013eb8c4566ecead31d74"", ""content"": ""用户喜欢吃甜辣口的零食"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.59136545}, {""mem_id"": ""01a013c11f0942c60cd31d74"", ""content"": ""用户不喜欢吃折耳根"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.56783648}]",core_memory_file
6,JY_TC003,2,召回记忆,阿莫西林我能吃吗？会不会过敏啊,青霉素,,True,,False,438,5,0.64833391,"[{""mem_id"": ""01a013dd79aad80ec6d31d74"", ""content"": ""用户过敏时吃氯雷他定"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.64833391}, {""mem_id"": ""01a013bfcb8db125ccd31d74"", ""content"": ""用户对青霉素过敏"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.6340565}, {""mem_id"": ""01a013dd79aadc4523d31d74"", ""content"": ""用户对花生过敏，吃了会起疹子"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.6242468}, {""mem_id"": ""01a013ded4e2fedcddd31d74"", ""content"": ""用户对芒果过敏，吃了会嘴肿"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.61161542}, {""mem_id"": ""01a013cce17872ee09d31d74"", ""content"": ""用户能吃牛肉"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.53526648}]",core_memory_file
7,JY_TC003,3,召回记忆,我朋友送了我花生酱，我能吃吗,花生,,True,,False,438,5,0.66121314,"[{""mem_id"": ""01a013dd79aadc4523d31d74"", ""content"": ""用户对花生过敏，吃了会起疹子"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.66121314}, {""mem_id"": ""01a013cce17872ee09d31d74"", ""content"": ""用户能吃牛肉"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.61223673}, {""mem_id"": ""01a013cce178d86f8ad31d74"", ""content"": ""用户能吃鸡肉"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.55279713}, {""mem_id"": ""01a013eb8c4566ecead31d74"", ""content"": ""用户喜欢吃甜辣口的零食"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.55089264}, {""mem_id"": ""01a013eb8c4501da24d31d74"", ""content"": ""用户喜欢吃咸口零食"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.54568619}]",core_memory_file
8,JY_TC004,1,召回记忆,玩冰雪大世界要排队吗？大概排多久？我能接受吗,"排队,半小时",,True,,False,438,5,0.67346733,"[{""mem_id"": ""01a013c036e3e9a808d31d74"", ""content"": ""用户讨厌排队超过半小时"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.67346733}, {""mem_id"": ""01a013c036e38a921ed31d74"", ""content"": ""用户计划在2026年12月25日去哈尔滨看冰雪大世界"", ""category"": ""episodic_memory"", ""subcategory"": """", ""score"": 0.58370861}, {""mem_id"": ""01a013df51b3c20f00d31d74"", ""content"": ""用户需要用三个闹钟才能叫醒自己"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.52046336}, {""mem_id"": ""01a013d8fc01f7752fd31d74"", ""content"": ""用户不喜欢重复去同一个城市"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.51213884}, {""mem_id"": ""01a013da2d48f3c417d31d74"", ""content"": ""用户不喜欢用自动还款"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.50565723}]",core_memory_file
9,JY_TC004,2,召回记忆,今年12.25怎么规划？,"哈尔滨,冰雪大世界",,True,,False,438,5,0.67450194,"[{""mem_id"": ""01a013c036e38a921ed31d74"", ""content"": ""用户计划在2026年12月25日去哈尔滨看冰雪大世界"", ""category"": ""episodic_memory"", ""subcategory"": """", ""score"": 0.67450194}, {""mem_id"": ""01a013dad6ac2ac023d31d74"", ""content"": ""用户在2025年12月参加了雅思考试，总分7分"", ""category"": ""episodic_memory"", ""subcategory"": """", ""score"": 0.61203999}, {""mem_id"": ""01a013e163b76d6961d31d74"", ""content"": ""用户在2025年生日收到一个运动背包"", ""category"": ""episodic_memory"", ""subcategory"": """", ""score"": 0.60653009}, {""mem_id"": ""01a013e3b9f466998ed31d74"", ""content"": ""用户在2025年结婚"", ""category"": ""episodic_memory"", ""subcategory"": """", ""score"": 0.59193432}, {""mem_id"": ""01a013e163b75bb016d31d74"", ""content"": ""用户在2026年生日打算请几个朋友吃火锅和唱K"", ""category"": ""episodic_memory"", ""subcategory"": """", ""score"": 0.57808446}]",core_memory_file
10,JY_TC004,3,召回记忆,之前说计划在哈尔滨住哪里来着,中央大街,,True,,False,438,5,0.65634438,"[{""mem_id"": ""01a013c036e38a921ed31d74"", ""content"": ""用户计划在2026年12月25日去哈尔滨看冰雪大世界"", ""category"": ""episodic_memory"", ""subcategory"": """", ""score"": 0.65634438}, {""mem_id"": ""01a013c036e30c3876d31d74"", ""content"": ""用户计划住在中央大街附近"", ""category"": ""episodic_memory"", ""subcategory"": """", ""score"": 0.65620284}, {""mem_id"": ""01a013d833261421dcd31d74"", ""content"": ""用户以前住在海淀区中关村"", ""category"": ""episodic_memory"", ""subcategory"": """", ""score"": 0.61820835}, {""mem_id"": ""01a013d8fc014e004cd31d74"", ""content"": ""用户喜欢住宿有特色的客栈"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.58772957}, {""mem_id"": ""01a013e968d8d8754cd31d74"", ""content"": ""用户计划2026年9月8日跟同事去八达岭，但尚未确定"", ""category"": ""episodic_memory"", ""subcategory"": """", ""score"": 0.58393665}]",core_memory_file
