row_number,case_id,turn_id,corpus_type,query,expected_keywords,blacklist,passed,missing_groups,blacklist_hit,candidate_count,returned_count,top_score,top5_memories,source
1,JY_TC001,1,召回记忆,推荐几首适合下雨天听的歌,"周杰伦,林俊杰",,True,,False,218,5,0.56092567,"[{""mem_id"": ""dream_20e0278814784aeb43fd0b94"", ""content"": ""用户是陈奕迅的忠实歌迷，最喜欢其歌曲《富士山下》"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.56092567}, {""mem_id"": ""dream_baabfdab3648a7fe9a145f73"", ""content"": ""用户喜欢张震岳的歌曲"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.55671201}, {""mem_id"": ""dream_aaf84c9352a41281559ce4d0"", ""content"": ""用户是周杰伦和林俊杰的忠实听众，播放列表主要由这两位歌手的歌曲组成，尤其喜欢周杰伦的中国风歌曲及林俊杰的嗓音。"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.5182886}, {""mem_id"": ""dream_c5fb943445e7933f28322d99"", ""content"": ""用户偏好周杰伦早期的作品，认为其比近期作品更好听，例如对近期歌曲《太阳之子》评价不高。"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.49787253}, {""mem_id"": ""dream_c5e9431649631fee8377078a"", ""content"": ""用户是Taylor Swift的铁粉，入坑曲为《Love Story》，并特别喜欢其民谣风格专辑《folklore》"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.49575978}]",core_memory_file
2,JY_TC001,2,召回记忆,来首周杰伦的歌,"周杰伦,中国风|太阳之子",,True,,False,218,5,0.68854668,"[{""mem_id"": ""dream_21ef2441c77af976ca01b6bc"", ""content"": ""用户最近购买了一张周杰伦专辑"", ""category"": ""episodic_memory"", ""subcategory"": """", ""score"": 0.68854668}, {""mem_id"": ""dream_c5fb943445e7933f28322d99"", ""content"": ""用户偏好周杰伦早期的作品，认为其比近期作品更好听，例如对近期歌曲《太阳之子》评价不高。"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.64609488}, {""mem_id"": ""dream_aaf84c9352a41281559ce4d0"", ""content"": ""用户是周杰伦和林俊杰的忠实听众，播放列表主要由这两位歌手的歌曲组成，尤其喜欢周杰伦的中国风歌曲及林俊杰的嗓音。"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.60309615}, {""mem_id"": ""dream_20e0278814784aeb43fd0b94"", ""content"": ""用户是陈奕迅的忠实歌迷，最喜欢其歌曲《富士山下》"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.59510865}, {""mem_id"": ""dream_baabfdab3648a7fe9a145f73"", ""content"": ""用户喜欢张震岳的歌曲"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.57751675}]",core_memory_file
3,JY_TC001,3,召回记忆,播放一首林俊杰的江南,,,True,,False,218,5,0.61705963,"[{""mem_id"": ""dream_aaf84c9352a41281559ce4d0"", ""content"": ""用户是周杰伦和林俊杰的忠实听众，播放列表主要由这两位歌手的歌曲组成，尤其喜欢周杰伦的中国风歌曲及林俊杰的嗓音。"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.61705963}, {""mem_id"": ""dream_20e0278814784aeb43fd0b94"", ""content"": ""用户是陈奕迅的忠实歌迷，最喜欢其歌曲《富士山下》"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.56591834}, {""mem_id"": ""dream_20875dae8b1f2eca0cf74287"", ""content"": ""用户认为大陆电影应使用原声，不喜欢港台腔太重的配音。"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.55594344}, {""mem_id"": ""dream_21ef2441c77af976ca01b6bc"", ""content"": ""用户最近购买了一张周杰伦专辑"", ""category"": ""episodic_memory"", ""subcategory"": """", ""score"": 0.52150604}, {""mem_id"": ""dream_baabfdab3648a7fe9a145f73"", ""content"": ""用户喜欢张震岳的歌曲"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.52048183}]",core_memory_file
4,JY_TC002,1,召回记忆,帮我推荐一份早餐搭配,"美式咖啡|拿铁,水煮蛋,豆浆",鸡蛋,False,水煮蛋 || 豆浆,False,218,5,0.61861376,"[{""mem_id"": ""dream_96574b9df86a2c09823e9d47"", ""content"": ""用户每天早上7点半喝一杯不加糖的美式咖啡"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.61861376}, {""mem_id"": ""dream_b6968e669e3769749e802ad9"", ""content"": ""用户日常饮食安排为：早餐一般吃面包牛奶，午餐在食堂吃，晚餐自己做，且不喝茶"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.58850464}, {""mem_id"": ""dream_a611cd6d08ccea4dbde3c726"", ""content"": ""用户在周末早上9点喝拿铁"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.58635083}, {""mem_id"": ""dream_a88d129d88d219ae39bd1e59"", ""content"": ""用户以前每周约李明轩吃饭。"", ""category"": ""episodic_memory"", ""subcategory"": """", ""score"": 0.56522099}, {""mem_id"": ""dream_cacb4893a19996bc06d7a0ac"", ""content"": ""用户每天喝三杯咖啡（早上两杯，下午一杯），并认为这一量不过量。"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.55737273}]",core_memory_file
5,JY_TC003,1,召回记忆,刚刚吃了一盘公司的果切，感觉嘴麻麻的，怎么回事,芒果,,True,,False,218,5,0.64851251,"[{""mem_id"": ""dream_364bb492747f6d195d2459d2"", ""content"": ""用户对芒果过敏，食用后会出现嘴肿症状"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.64851251}, {""mem_id"": ""dream_16cc1c864053c6a522830aef"", ""content"": ""用户不喜欢吃香菜和折耳根"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.56601594}, {""mem_id"": ""dream_580101ef7cefbbc76ff2e69c"", ""content"": ""用户偏好咸口及甜辣口味的零食，具体喜欢鸭爪、卤蛋、牛肉干和辣条。"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.52537758}, {""mem_id"": ""dream_14e718b424b9f535e6581221"", ""content"": ""用户在饮食口味上偏好草莓、糖醋排骨和宫保鸡丁，但讨厌吃苦瓜。"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.5244724}, {""mem_id"": ""dream_39e91d306a6bd59356f36b33"", ""content"": ""用户在披萨口味偏好上，不喜欢火腿和菠萝，但喜欢榴莲味。"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.52106999}]",core_memory_file
6,JY_TC003,2,召回记忆,阿莫西林我能吃吗？会不会过敏啊,青霉素,,True,,False,218,5,0.6340565,"[{""mem_id"": ""dream_aec8831ded7c4f34737aaae1"", ""content"": ""用户对青霉素过敏"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.6340565}, {""mem_id"": ""dream_364bb492747f6d195d2459d2"", ""content"": ""用户对芒果过敏，食用后会出现嘴肿症状"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.57949437}, {""mem_id"": ""dream_7adb58783a493a51efaa6b81"", ""content"": ""用户对花生过敏，食用后会出现皮疹症状，过敏时通常服用氯雷他定。"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.54360957}, {""mem_id"": ""dream_7414d9fdd2112e11789c6236"", ""content"": ""用户患有高血压，平时服用硝苯地平缓释片，每天早晨服用一片。"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.50293569}, {""mem_id"": ""dream_65a0e7cd4643b1f47660f49a"", ""content"": ""用户患有神经性皮炎，且肤质为混干性"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.5016548}]",core_memory_file
7,JY_TC003,3,召回记忆,我朋友送了我花生酱，我能吃吗,花生,,True,,False,218,5,0.60425882,"[{""mem_id"": ""dream_7adb58783a493a51efaa6b81"", ""content"": ""用户对花生过敏，食用后会出现皮疹症状，过敏时通常服用氯雷他定。"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.60425882}, {""mem_id"": ""dream_a7e2d720a0e0d77e6cb8bf44"", ""content"": ""用户的妈妈奖励用户吃自助餐。"", ""category"": ""episodic_memory"", ""subcategory"": """", ""score"": 0.53321437}, {""mem_id"": ""dream_16cc1c864053c6a522830aef"", ""content"": ""用户不喜欢吃香菜和折耳根"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.52422777}, {""mem_id"": ""dream_a611cd6d08ccea4dbde3c726"", ""content"": ""用户在周末早上9点喝拿铁"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.50455289}, {""mem_id"": ""dream_d06b703c9e13d10a2f0228c9"", ""content"": ""用户爱吃海鲜，特别是螃蟹和虾。"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.50079529}]",core_memory_file
8,JY_TC004,1,召回记忆,玩冰雪大世界要排队吗？大概排多久？我能接受吗,"排队,半小时",,True,,False,218,5,0.67346733,"[{""mem_id"": ""dream_f5f921c08254329f97a6be61"", ""content"": ""用户讨厌排队超过半小时"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.67346733}, {""mem_id"": ""dream_94104afd2d1ede30579294bf"", ""content"": ""用户计划在2026年12月25日去哈尔滨看冰雪大世界，并计划住在中央大街附近"", ""category"": ""episodic_memory"", ""subcategory"": """", ""score"": 0.57293849}, {""mem_id"": ""dream_e13fbf1587f664c3502720c6"", ""content"": ""用户计划以后只刷必要的副本，不再刷全部副本。"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.52350021}, {""mem_id"": ""dream_936de8132e4e5e5265b4c54b"", ""content"": ""用户在旅行规划中不喜欢重复去同一个城市。"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.51112891}, {""mem_id"": ""dream_155580ab7bba8241677182e9"", ""content"": ""用户喜欢自由行，不喜欢跟团游；不喜欢爬山，觉得太累。"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.49746205}]",core_memory_file
9,JY_TC004,2,召回记忆,今年12.25怎么规划？,"哈尔滨,冰雪大世界",,True,,False,218,5,0.65724904,"[{""mem_id"": ""dream_94104afd2d1ede30579294bf"", ""content"": ""用户计划在2026年12月25日去哈尔滨看冰雪大世界，并计划住在中央大街附近"", ""category"": ""episodic_memory"", ""subcategory"": """", ""score"": 0.65724904}, {""mem_id"": ""dream_2489b3643e45b1e5812693df"", ""content"": ""用户在2025年生日收到一个运动背包"", ""category"": ""episodic_memory"", ""subcategory"": """", ""score"": 0.60653009}, {""mem_id"": ""dream_67229970d491610424457e26"", ""content"": ""用户在2025年结婚"", ""category"": ""episodic_memory"", ""subcategory"": """", ""score"": 0.59193432}, {""mem_id"": ""dream_db4b2e3137c111e9e6a40a3c"", ""content"": ""用户在2026年生日打算请几个朋友吃火锅和唱K"", ""category"": ""episodic_memory"", ""subcategory"": """", ""score"": 0.57808446}, {""mem_id"": ""dream_ac37f6ad2cd678036dec9e3f"", ""content"": ""用户计划参加明年的北京全程马拉松，目标成绩为四小时内"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.57751556}]",core_memory_file
10,JY_TC004,3,召回记忆,之前说计划在哈尔滨住哪里来着,中央大街,,True,,False,218,5,0.73762676,"[{""mem_id"": ""dream_94104afd2d1ede30579294bf"", ""content"": ""用户计划在2026年12月25日去哈尔滨看冰雪大世界，并计划住在中央大街附近"", ""category"": ""episodic_memory"", ""subcategory"": """", ""score"": 0.73762676}, {""mem_id"": ""dream_a4885127d34f3d847c060937"", ""content"": ""用户目前居住在北京朝阳区青年路（2026年7月从海淀区中关村搬来）。"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.58869568}, {""mem_id"": ""dream_071f5d5eddbb4a19fd489cbf"", ""content"": ""用户的住址是3号楼202室。"", ""category"": ""user_profile"", ""subcategory"": """", ""score"": 0.58010143}, {""mem_id"": ""dream_fc72b34882570649a000e390"", ""content"": ""用户计划下次去云南大理旅行，但尚未确定。"", ""category"": ""episodic_memory"", ""subcategory"": """", ""score"": 0.56378381}, {""mem_id"": ""dream_b8902c2b6c7f96074cbf7b8c"", ""content"": ""用户在2025年4月30日至2026年5月1日期间全家前往杭州旅游，并入住西湖边的民宿。"", ""category"": ""episodic_memory"", ""subcategory"": """", ""score"": 0.54130768}]",core_memory_file
