row_number,created_at,content,mem_id,role,weight,category,subcategory,updated_at,user_id,extra,original_embedding_dim,duplicate_count,source_mem_ids
25,2026-08-19T15:27:49.269196+08:00,2012年，用户的父亲与人合伙做生意赚了200万。,dream_b4895a027ecd07d6351233c9,,1,episodic_memory,,2026-08-19T15:27:49.269196+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013e968d83b2434d31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.2,""top_p"":0.1}",1,1,dream_b4895a027ecd07d6351233c9
13,2026-08-19T15:27:49.269196+08:00,2026年8月18日，用户的弟弟就读于中心小学,dream_7cb9e091c5e9d39fc06a39b1,,1,episodic_memory,,2026-08-19T15:27:49.269196+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013ea9ccb217893d31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.2,""top_p"":0.1}",1,1,dream_7cb9e091c5e9d39fc06a39b1
97,2026-08-19T15:27:49.269196+08:00,关于用户期末英语成绩存在冲突记录：一条记忆显示为95分，另一条显示为92分，且均关联2026年8月17日-23日这一时间段，无法确定哪一分数为最终准确值。,dream_d9cdf0d4ae8f6a1a2865f28a,,1,episodic_memory,,2026-08-19T15:27:49.269196+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013e11e0ca9f01fd31d74"",""01a013e11e0ca0e73ed31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.2,""top_p"":0.1}",1,1,dream_d9cdf0d4ae8f6a1a2865f28a
175,2026-08-19T15:27:49.269196+08:00,在三大民工漫中，用户最喜欢《死神》的画风。,dream_4a30016a504ebc1bcabbc045,,1,user_profile,,2026-08-19T15:27:49.269196+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013d384c93750c2d31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.2,""top_p"":0.1}",1,1,dream_4a30016a504ebc1bcabbc045
6,2026-08-19T15:27:49.269196+08:00,大姨家购买了10万的白银和20万的黄金,dream_1aa917dd46005e15249e8bd4,,1,episodic_memory,,2026-08-19T15:27:49.269196+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013eb0a910b32cdd31d74"",""01a013eb0a91fcff6fd31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.2,""top_p"":0.1}",1,1,dream_1aa917dd46005e15249e8bd4
5,2026-08-19T15:27:49.269196+08:00,奶奶尤其喜欢河北梆子，且习惯在上午听音乐,dream_9b8b8d093e3fc70db79e3379,,1,user_profile,,2026-08-19T15:27:49.269196+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013eb0a91b37105d31d74"",""01a013eb0a91975872d31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.2,""top_p"":0.1}",1,1,dream_9b8b8d093e3fc70db79e3379
170,2026-08-19T15:27:49.269196+08:00,张伟喜欢打篮球和玩密室逃脱。,dream_61019cdc4db3fde0b1651180,,1,semantic_memory,,2026-08-19T15:27:49.269196+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013d41bbf578c1cd31d74"",""01a013d41bbf949fd2d31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.2,""top_p"":0.1}",1,1,dream_61019cdc4db3fde0b1651180
213,2026-08-19T15:27:49.269196+08:00,用户不喜欢去医院,dream_c7bbede8bbd26fcbecfac28a,,1,user_profile,,2026-08-19T15:27:49.269196+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013bfcb8dcd13d0d31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.2,""top_p"":0.1}",1,1,dream_c7bbede8bbd26fcbecfac28a
206,2026-08-19T15:27:49.269196+08:00,用户不喜欢吃香菜和折耳根,dream_76571a5a034e8d7e932751b5,,1,user_profile,,2026-08-19T15:27:49.269196+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013c11f0942c60cd31d74"",""01a013c11f090737a3d31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.2,""top_p"":0.1}",1,1,dream_76571a5a034e8d7e932751b5
209,2026-08-19T15:27:49.269196+08:00,用户不喜欢打桌球，主要原因是觉得桌球太吵,dream_84ae503fc8adf4704b178331,,1,user_profile,,2026-08-19T15:27:49.269196+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013c09ca4f030f5d31d74"",""01a013c09ca46e5355d31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.2,""top_p"":0.1}",1,1,dream_84ae503fc8adf4704b178331
173,2026-08-19T15:27:49.269196+08:00,用户不喜欢无脑打斗类的战斗番（如龙珠），目前偏好观看智斗番或治愈番。,dream_435e2a9e3fb8932d50a06707,,1,user_profile,,2026-08-19T15:27:49.269196+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013d384c93e3ec7d31d74"",""01a013d384c9bc5857d31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.2,""top_p"":0.1}",1,1,dream_435e2a9e3fb8932d50a06707
121,2026-08-19T15:27:49.269196+08:00,用户不喜欢烧脑的内容,dream_71504f91dabd16e000736032,,1,user_profile,,2026-08-19T15:27:49.269196+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013de6c253aa0e7d31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.2,""top_p"":0.1}",1,1,dream_71504f91dabd16e000736032
51,2026-08-19T15:27:49.269196+08:00,用户不喜欢给孩子看恐怖片,dream_a2bb0ad998fcf97c3d1e0683,,1,user_profile,,2026-08-19T15:27:49.269196+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013e640131ef9dcd31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.2,""top_p"":0.1}",1,1,dream_a2bb0ad998fcf97c3d1e0683
201,2026-08-19T15:27:49.269196+08:00,用户不喜欢英雄联盟，也不喜欢原神。,dream_389f267b8aa1b218c9417ee5,,1,user_profile,,2026-08-19T15:27:49.269196+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013c22c8e8c29e1d31d74"",""01a013c22c8e6add6ad31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.2,""top_p"":0.1}",1,1,dream_389f267b8aa1b218c9417ee5
29,2026-08-19T15:27:49.269196+08:00,用户之前的英文名叫ashely，现在的英文名是jessica。,dream_f6746ea26306481855f1c3d6,,1,user_profile,,2026-08-19T15:27:49.269196+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013e91ca5b01400d31d74"",""01a013e91ca597fb93d31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.2,""top_p"":0.1}",1,1,dream_f6746ea26306481855f1c3d6
109,2026-08-19T15:27:49.269196+08:00,用户于2026年6月18日去医院复查，当时血压控制在130/85左右。,dream_55ff2a114e23c46fe2fec7a9,,1,episodic_memory,,2026-08-19T15:27:49.269196+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013dfbecb954739d31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.2,""top_p"":0.1}",1,1,dream_55ff2a114e23c46fe2fec7a9
102,2026-08-19T15:27:49.269196+08:00,用户从2019年开始每天抽一包烟，曾尝试用电子烟替代戒烟但失败。,dream_e34f9cb47e04a2bedbb83da5,,1,user_profile,,2026-08-19T15:27:49.269196+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013e0a1d8d4d14ad31d74"",""01a013e0a1d8fc40ead31d74""],""is_important"":true,""model"":""qwen3.8:27b"",""temperature"":0.2,""top_p"":0.1}",1,1,dream_e34f9cb47e04a2bedbb83da5
172,2026-08-19T15:27:49.269196+08:00,用户以前每周约李明轩吃饭。,dream_e5e815dda4aa66774fe5423d,,1,episodic_memory,,2026-08-19T15:27:49.269196+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013d41bbfe7ed95d31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.2,""top_p"":0.1}",1,1,dream_e5e815dda4aa66774fe5423d
74,2026-08-19T15:27:49.269196+08:00,用户会弹古筝、琵琶和古琴,dream_864297016c26fea6aa749d91,,1,user_profile,,2026-08-19T15:27:49.269196+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013e33c144e69f4d31d74"",""01a013e33c145552e6d31d74"",""01a013e33c1460af6dd31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.2,""top_p"":0.1}",1,1,dream_864297016c26fea6aa749d91
35,2026-08-19T15:27:49.269196+08:00,用户使用多邻国学习西班牙语，当前等级为30级，并计划达到100级。,dream_02e1feb442967979a10e60bd,,1,user_profile,,2026-08-19T15:27:49.269196+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013e82df9a1f11dd31d74"",""01a013e82df9cca8f2d31d74"",""01a013e82df953de38d31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.2,""top_p"":0.1}",1,1,dream_02e1feb442967979a10e60bd
76,2026-08-19T15:27:49.269196+08:00,用户信佛，且每周都会去寺庙,dream_9481e271ec4327d44576bee0,,1,user_profile,,2026-08-19T15:27:49.269196+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013e33c148a38d2d31d74"",""01a013e33c14cef739d31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.2,""top_p"":0.1}",1,1,dream_9481e271ec4327d44576bee0
55,2026-08-19T15:27:49.269196+08:00,用户偏好IMAX和杜比影院，对普通影厅的观影体验评价较低,dream_4b5f6a5ce4baca3657201560,,1,user_profile,,2026-08-19T15:27:49.269196+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013e5ab43a7a866d31d74"",""01a013e5ab431d4454d31d74"",""01a013e5ab437260c4d31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.2,""top_p"":0.1}",1,1,dream_4b5f6a5ce4baca3657201560
185,2026-08-19T15:27:49.269196+08:00,用户偏好使用手竿进行野钓，最喜欢钓鲫鱼，且从不玩路亚；通常会在周末空闲时去野钓。,dream_53fda2e9196655f1498db471,,1,user_profile,,2026-08-19T15:27:49.269196+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013d0850fad6379d31d74"",""01a013d0850f819eedd31d74"",""01a013d0850fa391a2d31d74"",""01a013d0850f9cd189d31d74""],""is_important"":true,""model"":""qwen3.8:27b"",""temperature"":0.2,""top_p"":0.1}",1,1,dream_53fda2e9196655f1498db471
218,2026-08-19T15:27:49.269196+08:00,用户偏好周杰伦早期的作品，认为其比近期作品更好听，例如对近期歌曲《太阳之子》评价不高。,dream_7fc989cb22318cd5e9fd30c4,,1,user_profile,,2026-08-19T15:27:49.269196+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013bea200593b16d31d74"",""01a013bea200b6b45cd31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.2,""top_p"":0.1}",1,1,dream_7fc989cb22318cd5e9fd30c4
2,2026-08-19T15:27:49.269196+08:00,用户偏好咸口及甜辣口味的零食，具体喜欢鸭爪、卤蛋、牛肉干和辣条。,dream_b3910624b804856ff7bcaa6c,,1,user_profile,,2026-08-19T15:27:49.269196+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013eb8c4566ecead31d74"",""01a013eb8c4516f7b3d31d74"",""01a013eb8c4501da24d31d74"",""01a013eb8c45f9aafad31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.2,""top_p"":0.1}",1,1,dream_b3910624b804856ff7bcaa6c
197,2026-08-19T15:27:49.269196+08:00,用户偏好国产动作片，特别是吴京主演的作品（如《战狼》系列），并明确表示不喜欢花里胡哨的武侠片。,dream_1f8c7425522ecc1a436a4f45,,1,user_profile,,2026-08-19T15:27:49.269196+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013c430bbd42df4d31d74"",""01a013c430bb87fa5fd31d74"",""01a013c430bb34a267d31d74"",""01a013c430bbb43482d31d74""],""is_important"":true,""model"":""qwen3.8:27b"",""temperature"":0.2,""top_p"":0.1}",1,1,dream_1f8c7425522ecc1a436a4f45
122,2026-08-19T15:27:49.269196+08:00,用户偏好纯棉材质的衣物，且上衣尺码为M码。,dream_80ac9ec334a4cf09cc31ba34,,1,user_profile,,2026-08-19T15:27:49.269196+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013de1c0578199bd31d74"",""01a013de1c0512f6ded31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.2,""top_p"":0.1}",1,1,dream_80ac9ec334a4cf09cc31ba34
192,2026-08-19T15:27:49.269196+08:00,用户偏好观看喜剧和动画片，并明确表示以后只敢看这两类影片。,dream_ac0af9d881c9f92d46718f57,,1,user_profile,,2026-08-19T15:27:49.269196+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013c5ac4aa5721ad31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.2,""top_p"":0.1}",1,1,dream_ac0af9d881c9f92d46718f57
