mem_id,content,type,timestamp,source_id,source_memory_ids,is_important,model,temperature,top_p
dream_5a0e0707ece32d11678dd8af,用户不喜欢百草园、三只松鼠品牌的产品，对良品铺子持肯定态度，喜欢卫龙辣条。,user_profile,2026-08-19T15:05:38.149684+08:00,standalone_dreaming_temperature_0.1,"[""01a013eb8c456d0372d31d74"", ""01a013eb8c456098aed31d74"", ""01a013eb8c455d14e7d31d74"", ""01a013eb8c45f9aafad31d74""]",False,qwen3.8:27b,0.1,0.1
dream_f80a6ad680a140ccd028dd62,用户喜欢吃甜辣口、咸口零食，偏好鸭爪、卤蛋、牛肉干，喜欢榴莲味披萨，讨厌火腿和菠萝披萨。,user_profile,2026-08-19T15:05:38.149684+08:00,standalone_dreaming_temperature_0.1,"[""01a013eb8c4566ecead31d74"", ""01a013eb8c4516f7b3d31d74"", ""01a013eb8c4501da24d31d74"", ""01a013e89e8bb564b3d31d74"", ""01a013e89e8b5ed7b9d31d74"", ""01a013e89e8b61b56ed31d74""]",False,qwen3.8:27b,0.1,0.1
dream_4bc11b5a23810445f4548b57,用户喜欢宝格丽香水，觉得香奈儿香水不好闻。,user_profile,2026-08-19T15:05:38.149684+08:00,standalone_dreaming_temperature_0.1,"[""01a013e9a097729df2d31d74"", ""01a013e9a097f528a3d31d74""]",False,qwen3.8:27b,0.1,0.1
dream_5dd6e3acea2a53d5702c1df4,用户喜欢德云社相声，喜欢听鬼吹灯有声书，喜欢道士类小说，不爱看灵异和言情小说。,user_profile,2026-08-19T15:05:38.149684+08:00,standalone_dreaming_temperature_0.1,"[""01a013e9a097d4a783d31d74"", ""01a013e867080f4472d31d74"", ""01a013e8670897fff4d31d74"", ""01a013e8670840726bd31d74"", ""01a013e86708fe5be6d31d74""]",False,qwen3.8:27b,0.1,0.1
dream_21b3302fc9a529294c7401f8,用户喜欢周杰伦和林俊杰的歌，尤其喜欢周杰伦的中国风歌曲，认为周杰伦以前的歌更好听。,user_profile,2026-08-19T15:05:38.149684+08:00,standalone_dreaming_temperature_0.1,"[""01a013bea200593b16d31d74"", ""01a013bea200f7edced31d74"", ""01a013bea200ba5148d31d74"", ""01a013bea200c9883cd31d74""]",False,qwen3.8:27b,0.1,0.1
dream_e284230f658f68eaf21731d3,用户是Taylor Swift的铁粉，入坑曲是Love Story，特别喜欢folklore专辑，讨厌粉丝骂战。,user_profile,2026-08-19T15:05:38.149684+08:00,standalone_dreaming_temperature_0.1,"[""01a013c4f871fc6e5ad31d74"", ""01a013c4f8712f471ad31d74"", ""01a013c4f87131cb2dd31d74"", ""01a013c4f8716f463dd31d74""]",False,qwen3.8:27b,0.1,0.1
dream_2ff05df6960186faf5fc2fbc,用户是陈奕迅的忠实歌迷，最喜欢《富士山下》，喜欢原版编曲，不喜欢太吵的电子混音。,user_profile,2026-08-19T15:05:38.149684+08:00,standalone_dreaming_temperature_0.1,"[""01a013d2f3d73fdf60d31d74"", ""01a013d2f3d7261acfd31d74"", ""01a013d2f3d7c9015bd31d74"", ""01a013d2f3d763bbc9d31d74""]",False,qwen3.8:27b,0.1,0.1
dream_eeaf278ba615cb04ec6568ed,用户喜欢后摇音乐，喜欢惘闻乐队，下午下班路上喜欢听摇滚，午休时听古典吉他曲（如爱的罗曼史）。,user_profile,2026-08-19T15:05:38.149684+08:00,standalone_dreaming_temperature_0.1,"[""01a013d6ba36f5ec18d31d74"", ""01a013d6ba36267945d31d74"", ""01a013c7f305b49af6d31d74"", ""01a013c6935aa77ba7d31d74"", ""01a013c6935ab5b29ed31d74""]",False,qwen3.8:27b,0.1,0.1
dream_a76e7f057d936b583d94d6f2,用户爱听古典乐，接受交响乐和轻音乐助眠。,user_profile,2026-08-19T15:05:38.149684+08:00,standalone_dreaming_temperature_0.1,"[""01a013e7e961605d83d31d74"", ""01a013e7e961258b16d31d74""]",False,qwen3.8:27b,0.1,0.1
dream_3c80ab7a88d869682754e44c,用户喜欢张震岳的歌。,user_profile,2026-08-19T15:05:38.149684+08:00,standalone_dreaming_temperature_0.1,"[""01a013e7e96179927dd31d74""]",False,qwen3.8:27b,0.1,0.1
